Name,Rank,IFSC Score,R1 Points,R1 Rank,R2 Points,R2 Rank
Thierry DELARUE,1,1,TOP,1,49.5,1
Lee SHAFFER,2,2.828,48.5,2,45,4
Ethan ZILZ,3,3,44.5,3,45.5,3
David KAMMERER,4,3.606,41.5,6.5,46,2
Sebastian MENZE,5,5.196,42.5,4.5,40,6
Corey RAMOS,6,6.325,40,8,44.5,5
Keigo TAKAHATA,7,8.155,38.5,9.5,38.5,7
Shuhei YUKI,8,8.216,42.5,4.5,28.5,15
Rubén ROLDÁN BUSTOS,9,9.874,41.5,6.5,28.5,15
Frederik LEYS,10,10.512,37,13,37.5,8.5
Stefan Liviu DOGARU,11,10.724,37.5,11.5,36.5,10
Erdem HIRKA,12,11.102,34.5,14.5,37.5,8.5
Hiromi ONO,13,11.937,38.5,9.5,28.5,15
Kyle LONG,14,12.629,34.5,14.5,30,11
Jesse SPEED,15,13.134,37.5,11.5,28.5,15
Omar AL KHATIB,16,14.071,34,16.5,29.5,12
Martin VILLIGER,17,16.432,33.5,18,28.5,15
Julian SCHWARZ-DIAZ MANRESA,18,18.615,34,16.5,19,21
Augusto MILLAN COLLADO,19,19.494,30,20,22.5,19
Eirik Østreng GUDBRANDSEN,19,19.494,33,19,21,20
Krzysztof KUCZEWSKI,21,19.9,24.5,22,24,18
Christoph ZUNDEL,22,22,24.5,22,18.5,22
Azat ERTAN,23,23.452,24.5,22,3.5,25
Jeremy RITCHIE,24,23.979,6.5,25,13.5,23
Mustafa Kudret AYDEMİR,25,24,10,24,10.5,24
