Name,Rank,IFSC Score,R1 Points,R1 Rank,R2 Points,R2 Rank
Frederik LEYS,1,2.236,37.5,2,34.5,2.5
Lee SHAFFER,1,2.236,34,5,35.5,1
David KAMMERER,3,3.464,37.5,2,32.5,6
Rubén ROLDÁN BUSTOS,3,3.464,37.5,2,32.5,6
Shuhei YUKI,5,3.873,31.5,6,34.5,2.5
Sebastian MENZE,6,4,35.5,4,33.5,4
Stefan Liviu DOGARU,7,7.348,27.5,9,32.5,6
Erdem HIRKA,8,7.714,29,7,31.5,8.5
Martin VILLIGER,9,9.381,28,8,29.5,11
Hiromi ONO,10,11.102,18,14.5,31.5,8.5
Luciano FRAZÃO DA SILVA,11,11.726,23.5,11,20.5,12.5
Mat ARMITAGE,12,11.832,24,10,20,14
Julian SCHWARZ-DIAZ MANRESA,13,12.042,18,14.5,30,10
Krzysztof KUCZEWSKI,14,13.919,22.5,12.5,19.5,15.5
Azat ERTAN,15,14.142,17.5,16,20.5,12.5
Raphael MISAEL,16,15,22.5,12.5,13.5,18
Jeremy RITCHIE,17,16.233,16.5,17,19.5,15.5
Ion Florin HERCIU,18,17.493,11,18,18.5,17
Mustafa Kudret AYDEMİR,19,19,3.5,19,9,19
